Date,Open,Adj. High,Adj. Low,Close,Adj. Close,Volume
2001-07-21,1.296076,1.322527,1.151566,18.959999,1.223176,434222600
2001-07-28,1.233498,1.283819,1.194145,19.500000,1.258013,305166400
2001-08-04,1.228337,1.270916,1.196080,19.020000,1.227047,232999200
2001-08-11,1.232208,1.248981,1.159308,18.070000,1.165759,290686200
2001-08-18,1.170275,1.201241,1.134147,18.570000,1.198015,279847400
2001-08-25,1.199951,1.245111,1.114793,18.550001,1.196725,293237000
2001-09-01,1.193500,1.230918,1.109632,17.280001,1.114793,308117600
2001-09-08,1.096730,1.128986,1.091568,17.370001,1.120599,77211400
2001-09-15,1.032216,1.143179,0.947058,15.730000,1.014797,535029600
2001-09-22,1.039312,1.086407,0.963187,15.509999,1.000604,462522200
2001-09-29,0.999314,1.048344,0.956735,16.140001,1.041248,467735800
2001-10-06,1.004475,1.166404,0.999959,18.010000,1.161888,327936000
2001-10-13,1.158017,1.187693,1.094149,18.299999,1.180597,396650800
2001-10-20,1.174791,1.252852,1.145115,18.670000,1.204467,496315400
2001-10-27,1.198015,1.216724,1.100600,18.570000,1.198015,324973600
2001-11-03,1.215434,1.298657,1.195435,18.709999,1.207047,352809800
2001-11-10,1.203822,1.283819,1.158663,18.970001,1.223821,272753600
2001-11-17,1.225756,1.303172,1.223176,19.840000,1.279948,217690200
2001-11-24,1.286399,1.390266,1.282528,21.299999,1.374138,371632800
2001-12-01,1.358654,1.550259,1.328978,22.540001,1.454134,418153400
2001-12-08,1.438006,1.483166,1.296076,20.389999,1.315430,238918400
2001-12-15,1.316075,1.398653,1.302527,21.000000,1.354783,294026600
2001-12-22,1.348332,1.483810,1.348332,22.430000,1.447038,171915800
2001-12-29,1.452199,1.545099,1.408330,23.690001,1.528325,422315600
2002-01-05,1.530260,1.548324,1.306398,21.049999,1.358009,505999200
2002-01-12,1.355429,1.467037,1.322527,22.170000,1.430264,568149400
2002-01-19,1.436716,1.516713,1.392846,23.250000,1.499939,325127600
2002-01-26,1.509616,1.610257,1.465746,24.410000,1.574774,441274400
2002-02-02,1.568968,1.676061,1.507680,24.029999,1.550259,570000200
2002-02-09,1.543808,1.628321,1.531550,23.900000,1.541873,364028000
2002-02-16,1.532841,1.539937,1.383815,22.740000,1.467037,382232200
2002-02-23,1.474133,1.594773,1.350913,23.449999,1.512841,630767200
2002-03-02,1.500584,1.618644,1.468327,24.660000,1.590903,344297800
2002-03-09,1.587032,1.621869,1.539937,24.950001,1.609612,293951000
2002-03-16,1.609612,1.632191,1.500584,24.090000,1.554130,414941800
